timestamp,ecg,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,status_ecg,status_imu
16:09:35.580,0.0530,45.00,-0.56,10.80,20.00,0.12,0.32,NORMAL,NORMAL
16:09:35.681,0.3273,47.26,2.46,12.09,19.97,-0.59,1.00,NORMAL,NORMAL
16:09:35.782,0.4207,49.53,-2.27,9.31,19.90,-0.06,0.43,NORMAL,NORMAL
16:09:35.883,0.3799,51.77,-0.06,9.86,19.77,0.06,-0.72,NORMAL,NORMAL
16:09:35.983,0.0746,54.00,0.73,11.17,19.60,-1.78,-1.06,NORMAL,NORMAL
16:09:36.084,-0.3281,56.21,-1.01,10.02,19.37,-1.86,0.04,NORMAL,NORMAL
16:09:36.185,-0.4989,58.39,1.43,10.19,19.09,-1.01,2.13,NORMAL,NORMAL
16:09:36.286,-0.2962,60.54,-3.10,9.55,18.77,0.42,0.24,NORMAL,NORMAL
16:09:36.386,0.1340,62.64,-0.13,9.82,18.40,1.07,0.40,NORMAL,NORMAL
16:09:36.487,0.6516,64.70,-2.85,10.09,17.98,-1.26,0.09,NORMAL,NORMAL
16:09:36.587,0.5206,66.71,2.45,8.78,17.52,0.90,0.22,NORMAL,NORMAL
16:09:36.688,0.1877,68.67,-0.22,11.84,17.01,-0.57,-0.56,NORMAL,NORMAL
16:09:36.789,-0.1006,70.57,2.39,9.36,16.46,1.40,0.05,NORMAL,NORMAL
16:09:36.890,-0.4806,72.40,0.44,10.88,15.86,-1.35,0.44,NORMAL,NORMAL
16:09:36.991,-0.4240,74.16,-0.37,9.88,15.23,0.54,-0.85,NORMAL,NORMAL
16:09:37.092,-0.2973,75.86,-0.11,9.56,14.56,-1.20,1.59,NORMAL,NORMAL
16:09:37.193,0.1965,77.47,-1.19,8.69,13.85,-0.30,0.15,NORMAL,NORMAL
16:09:37.293,1.2699,79.00,-0.92,10.97,13.10,0.15,0.93,NORMAL,NORMAL
16:09:37.394,0.4235,80.44,2.09,11.82,12.33,0.31,-0.79,NORMAL,NORMAL
16:09:37.495,0.1702,81.79,1.14,9.13,11.52,0.61,1.72,NORMAL,NORMAL
